
spot1=[(6, 312), (67, 372), (114, 374), (53, 314)]
spot2=[(59, 313), (123, 375), (164, 374), (100, 313)]
spot3=[(107, 313), (167, 371), (212, 374), (149, 314)]
spot4=[(154, 313), (217, 373), (267, 378), (198, 315)]
spot5=[(203, 315), (271, 375), (313, 375), (248, 316)]
spot6=[(254, 316), (314, 372), (360, 373), (299, 317)]
spot7=[(304, 317), (366, 372), (418, 377), (350, 318)]
spot8=[(356, 317), (425, 376), (466, 377), (401, 318)]
spot9=[(407, 318), (472, 376), (518, 376), (452, 317)]
spot10=[(458, 317), (523, 374), (571, 376), (504, 318)]
spot11=[(511, 317), (574, 376), (626, 377), (558, 318)]
spot12=[(563, 319), (630, 377), (678, 377), (610, 318)]
spot13=[(614, 316), (681, 378), (735, 380), (663, 320)]
spot14=[(670, 319), (739, 380), (782, 378), (716, 320)]
spot15=[(721, 319), (785, 377), (837, 381), (768, 320)]
spot16=[(773, 320), (839, 380), (882, 376), (818, 319)]
spot17=[(824, 319), (886, 375), (911, 357), (875, 319)]
spot18=[(66, 208), (37, 161), (83, 160), (126, 209)]
spot19=[(133, 208), (88, 159), (135, 159), (175, 207)]
spot20=[(182, 207), (139, 160), (186, 160), (226, 207)]
spot21=[(232, 207), (190, 160), (237, 158), (280, 207)]
spot22=[(286, 207), (239, 158), (289, 158), (333, 210)]
spot23=[(339, 210), (294, 157), (340, 155), (386, 209)]
spot24=[(392, 209), (347, 158), (393, 156), (438, 208)]
spot25=[(446, 208), (398, 156), (448, 155), (492, 209)]
spot26=[(502, 211), (454, 156), (502, 157), (547, 208)]
spot27=[(558, 209), (508, 155), (557, 158), (603, 210)]
spot28=[(610, 209), (564, 159), (610, 158), (657, 209)]
spot29=[(665, 208), (619, 159), (666, 157), (713, 210)]
spot30=[(718, 209), (671, 158), (720, 159), (766, 209)]
spot31=[(774, 209), (727, 160), (776, 161), (819, 209)]
spot32=[(826, 208), (780, 159), (828, 161), (874, 211)]
spot33=[(881, 210), (835, 161), (880, 162), (927, 210)]
spot34=[(935, 211), (886, 161), (933, 160), (976, 211)]
spot35=[(983, 211), (937, 162), (989, 162), (1017, 192)]
